id,name,sku,price,currency,variations,quantity,status
54422,راوتر هواوي,,650,SAR,,0,deleted
54509,تعليقة مفاتيح شنطة قروش كاروهات رمادي,,15,SAR,,6,hidden
54524,Dior ,,17917,SAR,,1,sale
54526,Dior ,,58019,SAR,,1,sale
54527,Dior ,,24035,SAR,,1,sale
54574,خشب دائري متحرك ,,130,SAR,,1,none
54575,خشب دائري متحرك ,,130,SAR,,100,sale
54585,تعليقة مفاتيح شنطة قروش كاروهات رمادي,,15,SAR,,4,hidden
54610,Adidas shoes,,345,SAR,,50,hidden
54673,جل الصبار ٢٣٠جرام ,,85,SAR,,2,hidden
54678,Hermes ,,2118,SAR,,19,sale
54681,بطاقة شخصية ,,1400,SAR,,100,sale
54684,تصميم بطاقة دعوة تخرج,,150,SAR,,NULL,hidden
54695,Red A,,130,SAR,,1,sale
54719,جلابة كحلي ,,900,SAR,,1,hidden
54723,تكشيطة كحلي قصير,,1200,SAR,,1,hidden
54724,تكشيطة قصيرة فوشي ,,1200,SAR,,1,hidden
54725,تكشيطة فسفوري,,2100,SAR,,1,hidden
54726,جلابة ,,900,SAR,,1,hidden
54727,جلابة تقليدي,,800,SAR,,1,hidden
54728,جلابة اسود ,,800,SAR,,1,hidden
54729,بلوزة كحلي,,350,SAR,,1,hidden
54730,بلوزة بنك نقش مغربي,,350,SAR,,1,hidden
54731,بلوزة نقش مغربي,,350,SAR,,1,hidden
54732,تكشيطة ,,2000,SAR,,1,hidden
54747,باقة غروب ,,190,SAR,,1,hidden
54754,باقة دهشة,,350,SAR,,1,sale
54757,باقة ود ,,200,SAR,,1,sale
54759,توزيعة ورد ٢,,45,SAR,,1,sale
54893,حقيبه بتصميم كاجوال ,,80,SAR,,3,sale
54894,حقيبة نسائية بحمالات طويله ,,140,SAR,,2,sale
54895,حقيبه بتصميم عصري وانيق ,,150,SAR,,2,sale
54902,Vegan brownies - براونيز نباتي,,25,SAR,,0,out
54906,Green Glow - غرين غلو,,15,SAR,,3,sale
54913,Berry energy - سموذي التوت,,20,SAR,,2,sale
54914,Mac n' cheese - ماك اند تشيز (نباتي) ,,35,SAR,,0,out
54915, Grilled pineapples & Brown rice or regular rice- اناناس مشوي مع الارز البني,,35,SAR,,8,sale
54917,Coconut water - ماء جوز الهند,,15,SAR,,3,sale
54922,Tofu scramble- توفو سكرامبل مع الخضار,,23,SAR,,1,sale
54923,تعليقة ذهب ابيض الماس تصميم شوبارد ,,29800,SAR,,50,hidden
54924,تعليقة ذهب ابيض الماس تصميم شوبارد ,,33800,SAR,,50,hidden
54925,تعليقة ذهب تصميم شوبارد ,,1950,SAR,,50,hidden
54926,تعليقة ذهب ابيض تصميم شوبارد ,,1950,SAR,,50,hidden
54927,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,3130,SAR,,50,hidden
54928,تتفصيل عليقة ذهب ابيض الماس تصميم شوبارد ,,4490,SAR,,50,hidden
54929,تعليقة ذهب و الماس تصميم شوبارد ,,2150,SAR,,50,hidden
54930,تعليقة ذهب ابيض الماس تصميم شوبارد ,,3400,SAR,,50,hidden
54931,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,3340,SAR,,50,hidden
54932,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,5150,SAR,,50,hidden
54933,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,4810,SAR,,50,hidden
54937,Avocado pasta - اڤوكادو پاستا,,25,SAR,,1,sale
54939,Peanut butter noodles - نودلز فول السوداني,,30,SAR,,NULL,sale
54940,Peanut butter W/rice crackers - سناك فول السوداني,,15,SAR,,1,sale
54952,Handmade book - Brown,,65,SAR,,1,sale
54957,Handmade book - Flower,,65,SAR,,1,sale
54961,Handmade book - Pink,,65,SAR,,1,hidden
54966,Handmade books - Mixed,,45,SAR,,5,sale
55015,Handmade book - Crystals,,50,SAR,,1,sale
55017,A5 Handmade book,,50,SAR,,1,sale
55086,بودره جيرماس الاصليه,,55,SAR,,30,sale
55090,تيشيرت قراصنة قبعة القش,,75,SAR,,1000,sale
55096,تيشيرت عبادي,,70,SAR,,NULL,sale
55100,تيشيرت لغة الاشارة,,70,SAR,,NULL,sale
55164, كوب الكابتشينو,,45,SAR,,10,sale
55165,تيشيرت سبلاش,,85,SAR,,10,sale
55170,Detox cleanse plan - برنامج الديتوكس,,250,SAR,,4,sale
55181,بطاقة تهنئة,,13,SAR,,12,hidden
55198,جل مقشر ,,115,SAR,,NULL,sale
55208,باقة ميني كب كيك ,,700,SAR,,200,sale
55212,بوب كيك ,,195,SAR,,30,sale
55252,دانميت بوب ,,180,SAR,,30,sale
55271,تفاح بالشوكولاتة ,,140,SAR,,20,sale
55486,بوب كيك العرسان ,,210,SAR,,30,sale
55511,تغليف المنتجات كهدية ,,50,SAR,,0,out
55620,حلى الوتس,,35,SAR,,NULL,hidden
55774,ربطة شعر بصمة القطة,,10,SAR,,NULL,hidden
55784,جوارب وجه القطة,,12,SAR,,NULL,sale
55834,حلى بحشوة النوتيلا ومغطى باللوتس أو الجوزاء أو الاوريو (العلبه تحتوي على٢٤قطعه) ,,25,SAR,,NULL,sale
55857,برواز الشوكولاته,,55,SAR,,10,sale
55967,تفصيل تعليقة ذهب ابيض الماس تصميم شوبارد ,,4700,SAR,,50,hidden
55968,تعليقة ذهب و الماس تصميم شوبارد ,,2650,SAR,,50,hidden
55969,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,3050,SAR,,50,hidden
55970,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,5290,SAR,,50,hidden
55971,تتفصيل عليقة ذهب و الماس تصميم شوبارد ,,8320,SAR,,50,hidden
55972,تعليقة ذهب و الماس تصميم شوبارد ,,10680,SAR,,50,hidden
55973,تعليقة ذهب ابيض الماس تصميم شوبارد ,,8320,SAR,,50,hidden
55974,تعليقة ذهب ابيض الماس تصميم شوبارد ,,10680,SAR,,50,none
55975,تفصيل عليقة ذهب و الماس تصميم شوبارد ,,5420,SAR,,50,hidden
55976,تعليقة ذهب و الماس تصميم شوبارد ,,6080,SAR,,50,hidden
55977,تعليقة ذهب و الماس تصميم شوبارد ,,5050,SAR,,50,hidden
55978,تعليقة ذهب و الماس تصميم شوبارد ,,3400,SAR,,50,hidden
55979,تعليقة ذهب روز و الماس تصميم شوبارد ,,5450,SAR,,50,hidden
55980,تعليقة ذهب و الماس تصميم شوبارد ,,13900,SAR,,50,hidden
55981,تعليقة ذهب ابيض الماس تصميم شوبارد ,,1990,SAR,,50,hidden
55982,تعليقة ذهب ابيض الماس تصميم شوبارد ,,1990,SAR,,50,hidden
